,NaturalPersonID,ProductName,CreditSum,TypeOfWork,Employment,SignIP,sex,age,EducationStatus,otrasl_rabotodatelya,kolichestvo_rabotnikov_v_organizacii,OrgStanding_N,kolichestvo_detej_mladshe_18,LivingRegionName,Residence,IncomeDocumentKind,HaveSalaryCard,IsBankWorker,harakteristika_tekutschego_trudoustrojstva,ConfirmedMonthlyIncome (Target),month,day,year
39,4A750863-CCFA-4CF2-A4CB-EC0FAAFD1BEF,1,417515.12,0,1,0,2,23,3,12,4,3.916666,1,4,2,0,0,0,2,38172.5,11,13,2018
40,C67863C4-79FB-4B27-AB6F-B5281105187E,1,784002.0,0,1,0,2,35,3,12,4,13.0,2,41,2,0,0,0,2,69061.22,11,8,2018
41,9EC59512-8804-4939-A447-C219296CF82F,1,235662.17,0,1,0,1,33,5,18,2,7.416666,0,25,1,0,0,0,2,12801.27,11,7,2018
42,B005E408-AA42-4662-A15C-9AFEB7AAB12C,2,31000.0,0,1,0,1,33,5,28,4,11.0,0,20,2,1,0,1,2,28581.98,11,9,2018
43,D41A4CD1-7631-4ACB-A793-65A297E4CBEE,1,462000.0,0,1,0,2,36,5,9,2,6.083333,4,15,2,0,0,0,2,79758.0,11,13,2018
44,BB5BBD7B-B64E-435C-9B78-7F90116EF71B,1,813304.66,0,1,0,1,40,6,1,2,3.75,0,18,2,0,0,0,2,48951.0,11,7,2018
45,094F5430-13D0-4225-A306-6347FFD1C824,1,1100000.0,0,1,0,2,56,5,18,2,12.833333,1,2,1,1,1,0,2,21646.09,11,9,2018
46,DF958369-FA14-40B7-A65E-D1A210005EE4,2,35000.0,0,1,0,1,54,3,28,4,10.5,0,0,2,1,0,1,2,19375.0,11,21,2018
47,4F250DC6-BBA3-460F-91AF-7FF376BE6E3C,1,155300.0,0,1,0,2,34,5,18,4,13.5,0,15,2,0,0,0,2,57189.99,12,5,2018
48,C5734D7B-3309-41F3-B9D3-C5310B659D63,1,750000.0,0,2,0,1,56,5,23,2,8.75,0,34,2,0,0,0,2,39150.0,11,13,2018
49,C7DF328F-5F56-428D-983B-80421AF3D0C3,1,102708.0,0,1,0,2,28,5,18,4,1.666666,0,15,2,1,1,0,2,59009.55,12,5,2018
50,5EF9E062-16A8-4625-8C84-9109C0277035,1,368100.0,0,1,0,2,49,3,21,1,6.416666,0,26,1,0,0,0,2,28305.0,11,7,2018
51,350F9A8D-6A47-43D3-9E2E-AB9E699F5F51,1,800000.0,0,3,0,2,54,5,13,2,4.333333,0,7,1,1,1,0,2,44997.65,11,8,2018
52,FD986003-5565-41E7-8CBD-AE3A8DC0F4EC,1,585937.0,0,1,0,1,48,5,18,4,23.0,0,15,2,1,1,0,2,63487.05,11,12,2018
53,010FD433-7E54-4D06-9AAD-6E3C0DB50079,1,103000.0,0,1,0,1,22,3,2,3,2.416666,0,30,2,1,1,0,2,20976.13,11,15,2018
54,B924C55B-CC3E-4EEC-8416-7C96C404D244,1,162708.05,0,1,0,1,48,5,13,2,10.0,0,11,2,0,0,0,2,45513.93,11,8,2018
