,NaturalPersonID,ProductName,CreditSum,TypeOfWork,Employment,SignIP,sex,age,EducationStatus,otrasl_rabotodatelya,kolichestvo_rabotnikov_v_organizacii,OrgStanding_N,kolichestvo_detej_mladshe_18,LivingRegionName,Residence,IncomeDocumentKind,HaveSalaryCard,IsBankWorker,harakteristika_tekutschego_trudoustrojstva,ConfirmedMonthlyIncome (Target),month,day,year
497,0420B8D5-00F3-4952-A6EB-EC6986C600EF,1,300000.0,1,1,0,2,27,5,18,4,1.0,0,41,2,1,1,0,2,60867.15,7,2,2018
498,2B9BBA4F-E281-4A9D-A466-7C8631D81E5A,1,543300.0,0,1,0,2,31,2,18,4,0.833333,2,30,1,0,0,0,2,39150.0,12,20,2018
499,0C850394-4AAE-4CA3-AEAA-46BE6AD9E934,1,50000.0,1,1,0,2,28,5,18,1,6.0,2,19,1,1,0,1,2,25660.86,6,21,2018
500,90EE1A7A-9B3C-410F-93A4-D1458C6B0752,1,1000000.0,0,2,0,2,45,5,0,3,4.0,1,15,2,1,1,0,2,48402.1,9,6,2018
501,C32EA45C-7696-4468-AF3C-DA5CFAAD4554,1,158228.36,0,1,0,1,57,3,23,2,4.75,0,37,2,0,0,0,2,8988.41,8,23,2018
502,5B984EAC-7A8F-4936-85E1-AAF28B7B2BB9,1,220375.0,1,1,0,2,54,3,18,4,2.0,0,25,2,3,1,0,2,31000.0,6,21,2018
503,210BBCEF-CB03-4A7E-911F-32295A955B4D,1,500000.0,1,4,0,1,25,5,18,4,2.416666,0,14,2,1,0,1,2,22960.97,6,28,2018
504,C2113881-0119-402E-9F3B-02C1CCD2FC71,1,71896.0,1,1,0,1,33,5,1,3,1.5,0,4,2,1,1,0,2,34058.88,6,21,2018
505,E0A32A53-CD22-48D2-A4A1-6BFC10ED1DC7,1,236500.0,1,1,0,2,43,3,18,4,6.0,0,13,2,0,0,0,2,56629.9,5,15,2018
506,A8D5C8AF-4F07-48B5-BC80-4542EED5094E,1,147000.0,1,4,0,2,22,3,18,4,3.25,0,15,2,0,0,0,2,27712.36,5,28,2018
507,A9F3FA87-AB5B-448F-89B3-BA351353158C,1,50000.0,1,1,0,1,46,5,13,2,15.0,1,27,2,1,0,0,2,34457.88,5,11,2018
508,7589E406-A080-44F5-8473-D3EE4C1B215A,1,450000.0,1,3,0,2,52,5,13,2,9.0,2,27,1,1,1,0,2,62946.96,4,13,2018
509,26EC2A79-2174-4759-A084-98DE8BB36AD2,1,499500.0,1,1,0,1,58,3,18,4,11.0,0,14,1,0,0,0,2,12736.54,5,4,2018
510,5B48F4FE-BD10-4889-BF3D-E8FAC5804F97,1,806200.0,1,4,0,1,30,5,0,3,2.0,0,39,2,0,0,0,2,28166.83,5,4,2018
511,EE23682E-608D-4ABD-BB51-AA224CB5783E,1,591025.0,0,2,0,1,42,5,2,2,3.0,0,25,2,1,1,0,2,35044.96,12,10,2018
512,FA6CFCE6-DDCF-4B74-89E0-376CEB9E44F5,1,263190.45,0,2,0,1,53,5,13,2,5.333333,0,34,2,3,0,0,2,33700.65,12,18,2018
513,261D9632-6F44-48B5-A619-36285CDCF602,1,707388.94,0,1,0,2,35,3,18,1,5.0,2,3,1,1,1,0,2,19707.24,9,6,2018
514,08C7CF8D-BDAB-4747-B59A-3374B971042F,1,100000.0,1,1,0,2,33,3,4,2,1.25,1,15,2,1,1,0,2,62877.12,5,17,2018
515,30E70115-33E9-4B2D-A5D4-8224346E908D,1,230625.0,1,1,0,1,28,5,5,3,0.916666,0,26,1,0,0,0,2,19343.0,5,7,2018
516,FC2F4A95-322E-45E1-B9CF-40C41EEB5CF2,1,450000.0,1,1,0,2,26,5,1,4,3.416666,0,13,2,0,0,0,2,39984.57,5,8,2018
517,C4BE1D11-0171-4F0E-ACC9-D61559CBA361,1,790000.0,0,1,0,2,27,3,18,2,7.333333,1,14,1,0,1,0,2,27502.86,11,21,2018
518,BC172391-2F6A-45B5-A58A-2F971469C5F9,1,500000.0,1,1,0,1,25,5,18,4,2.166666,0,25,2,1,0,1,2,47591.43,5,14,2018
519,EBE3D8E1-C76E-4B24-AB72-7D48FB1646E6,2,100000.0,0,2,0,1,41,5,2,2,2.5,1,26,2,0,0,0,2,59263.0,12,3,2018
521,FE310DF6-2F8B-49C8-A408-BDDF8E4B80F7,1,562500.0,1,1,0,1,47,5,18,1,6.416666,0,18,2,0,0,0,2,47408.6,5,14,2018
522,39B617EB-2B01-4667-8554-9D3DBAB36469,1,1075000.0,1,2,0,1,53,5,18,3,12.5,1,27,2,0,0,0,2,82650.0,5,11,2018
523,9A3F56AC-D416-49B1-975A-524980D47CF4,1,550000.0,1,1,0,2,27,4,24,3,0.666666,0,10,2,0,0,0,2,16198.85,5,7,2018
524,85A807D6-E033-4EB6-B2D2-D064B65D79DE,1,225000.0,1,1,0,2,31,3,24,1,8.333333,1,7,1,0,0,0,2,34647.75,4,16,2018
526,146145F8-F604-4A89-A821-DE1880CA86F8,1,247500.0,1,2,0,2,46,4,23,1,1.416666,1,38,2,3,0,0,2,49590.0,5,15,2018
527,D32AE7B5-0110-4F0F-A5DA-CA15533174C2,1,820000.0,0,1,0,2,47,3,18,4,16.0,1,1,1,2,0,0,2,36710.2,9,18,2018
529,AD5CB784-AAC6-4F45-ACB6-4AF45713702E,1,107500.0,0,1,0,2,39,3,18,4,3.25,3,3,1,0,0,0,2,36576.25,7,19,2018
530,A4E0F8A7-15A5-4030-B361-2C85D213FC68,2,50000.0,0,2,0,1,50,5,13,2,0.833333,0,10,2,1,1,0,2,38630.03,12,19,2018
531,02DB2B0A-5FD2-4B2E-B0F9-9043621D6B9D,1,912000.0,0,1,0,2,35,5,30,4,13.0,1,15,1,1,1,0,2,64082.26,7,20,2018
532,CD7CC820-BDE4-4906-B685-74D2CA706A9A,1,500000.0,0,1,0,1,41,5,28,2,0.5,2,2,1,1,0,1,2,35816.12,12,21,2018
533,3AC9FA5F-F580-41C0-9464-8894A592A053,1,700000.0,1,2,0,2,52,5,1,1,5.333333,2,44,1,1,1,0,2,22930.0,5,31,2018
534,7D554F77-CE79-4298-AB72-A30FDF3F5E92,1,51354.0,0,2,0,1,44,5,13,2,24.0,1,6,2,1,1,0,2,45601.86,7,17,2018
535,ADFE7EE7-5606-4FB3-A41B-8ECAB1B71AB1,2,31000.0,0,1,0,2,24,3,2,3,1.5,0,25,2,1,1,0,2,30848.15,12,20,2018
536,FDC5A322-AA04-4F32-8926-39E6786AD216,1,857000.0,0,1,0,2,26,5,4,4,2.0,0,42,2,0,0,0,2,28461.01,12,21,2018
538,43C45E08-3B09-4F22-A5E3-9D86BA8EFC93,2,31000.0,0,2,0,1,32,5,23,4,10.75,0,33,2,0,0,0,2,53912.1,12,12,2018
540,7198EB20-8F14-455D-B1FD-258ADB37FFF3,1,1452977.85,0,1,0,1,32,5,13,2,2.0,1,27,2,1,1,0,2,29724.65,12,18,2018
541,F855F433-DAA9-479D-83A2-28A36D5C355C,1,363375.0,0,1,0,2,40,3,18,3,6.0,1,44,1,0,0,0,2,34220.0,12,11,2018
542,BEA88CEE-652D-4829-8F7A-1BE48D97C2D4,2,31000.0,0,1,0,1,27,3,18,3,0.666666,0,7,2,1,1,0,2,14026.33,12,24,2018
543,F17685DD-7F9F-4020-BBC4-FA31695F2309,1,375000.0,0,1,0,1,58,2,2,4,2.0,0,12,1,1,1,0,2,15922.57,12,13,2018
544,33C89FA0-88AC-4ADE-BB59-DF4885CBD7CA,2,70000.0,0,1,0,2,35,3,8,4,5.333333,0,15,2,0,0,0,2,44533.35,12,11,2018
545,00020865-DB46-47B6-AAF1-06957D012DAD,1,550000.0,1,1,0,1,37,3,2,4,17.0,1,44,2,1,1,0,2,36083.25,4,10,2018
546,271AD3A7-2259-4033-B6A1-3498791E549C,1,110725.0,0,2,0,1,45,5,5,3,4.833333,0,30,1,1,1,0,2,36115.87,8,2,2018
547,74917A1C-862D-49A6-8A8A-346970B03BA5,2,31000.0,0,1,0,1,34,3,18,4,6.0,2,41,2,0,0,0,2,40000.0,12,17,2018
548,BCE04202-3802-4DE7-B6FF-CFE49495175C,1,110725.0,0,3,0,2,50,5,13,2,4.0,2,44,1,1,1,0,2,31246.42,12,6,2018
549,DC43050C-45DB-454B-84D0-0623FB6103A1,1,225000.0,1,1,0,2,22,3,18,3,1.25,0,13,2,0,0,0,2,33408.22,4,27,2018
550,1735FF42-C526-49D2-8625-B0B94FBB922D,1,455625.0,0,1,0,1,44,5,13,2,4.0,0,25,2,1,1,0,2,48908.13,7,23,2018
551,EA2749DE-8718-4F8E-B8FC-53E60A501490,1,335700.0,0,1,0,1,47,6,13,2,7.0,2,6,1,1,1,0,2,31767.83,12,28,2018
552,0045F66A-1FBF-4A20-AAD6-80D73960C365,1,1039680.0,0,2,0,2,34,5,5,4,5.5,2,15,2,1,1,0,2,32532.67,12,18,2018
553,08065FD4-E2BB-49CF-8961-BC00DF5BF3E6,1,112500.0,0,1,0,2,42,5,18,2,17.333333,2,7,1,0,1,0,2,29760.38,7,27,2018
554,0A4662A8-5E9D-4B78-A88F-7E9A4BC431F2,1,611918.0,0,1,0,1,53,3,2,2,3.916666,0,13,2,0,0,0,2,39414.08,12,25,2018
555,FA8D2706-1F32-40C3-9DFD-754A890A2666,1,944850.81,3,3,1,2,47,5,18,2,10.916666,0,14,2,3,0,0,2,69600.0,7,27,2018
557,F789C5B2-96B3-433B-BBAB-08B4FF9D9B4F,1,150000.0,0,1,0,1,33,5,1,1,13.0,1,15,1,1,1,0,2,22746.25,12,27,2018
558,84E233D2-D53C-4081-8C22-42BD4A531431,1,411250.0,0,2,0,2,47,5,4,4,3.833333,0,15,2,1,1,0,2,68588.25,12,24,2018
559,DA7F5BD1-35F4-4C92-8B08-BE2AC153983B,1,295500.0,0,1,0,1,50,3,23,2,3.0,0,42,2,1,1,0,2,14991.78,12,19,2018
560,7D208840-2C5D-40A0-8DA9-A3710017BA4B,2,31000.0,0,4,0,1,38,5,28,4,9.5,1,13,2,1,0,1,2,43899.22,12,14,2018
561,E6138D8D-7BC7-43F3-BD50-DA2DE3A5BCB3,2,31000.0,0,1,0,1,31,5,13,2,3.0,2,1,1,2,0,0,2,30000.0,11,2,2018
563,60644EBA-9807-44B6-BC21-490570852A40,1,335500.0,0,4,0,2,24,5,18,4,2.0,0,25,2,1,1,0,2,35499.0,7,27,2018
564,4D17F0B3-CD62-42CC-88F4-66854EA09955,1,500000.0,0,1,0,1,37,5,15,4,3.75,0,20,2,0,0,0,2,20346.04,10,18,2018
565,AC6F0076-788F-4ECD-8DCB-D45D2F4AC1B0,2,50000.0,0,1,0,1,43,5,28,2,1.583333,0,29,2,1,0,1,2,33366.28,11,7,2018
566,6941B7C8-E71B-4895-B777-3B4749684233,1,273349.26,0,1,0,1,54,5,24,3,11.0,0,25,2,1,1,0,2,30452.84,12,17,2018
567,0E203EC7-8862-4C86-83CB-E8C490F4EDD8,1,622500.0,0,1,0,2,30,3,0,2,5.083333,0,18,2,3,0,0,2,41760.0,12,27,2018
568,1417B71C-50FD-4677-9E40-7EF95FC3A058,1,200000.0,0,1,0,2,31,3,24,4,4.0,1,15,1,1,1,0,2,42473.67,8,1,2018
569,68F5038D-0964-46D7-8A4B-5D804D77A82F,1,400000.0,1,1,0,2,51,3,12,4,10.0,0,25,1,0,0,0,2,23663.7,5,29,2018
570,835C700A-1B78-4658-8CA7-2541590DEEE3,2,31000.0,0,1,0,2,51,2,18,3,2.0,0,26,2,0,0,0,2,18766.44,12,6,2018
571,68D664DB-7A86-4A57-83AF-8376E160602C,1,508000.0,0,1,0,2,39,3,18,3,5.333333,3,10,2,0,0,0,2,67222.94,7,21,2018
572,CFBF0DF2-17EE-4B79-A6AD-12D289B27298,2,35000.0,0,2,0,1,47,5,13,4,7.416666,0,25,2,1,1,0,2,67010.61,12,10,2018
573,A0ED3F53-D827-4940-8DA9-017515E45E0C,1,900000.0,1,4,0,2,48,4,18,1,4.0,1,26,2,3,0,0,2,66894.0,4,25,2018
574,DD5AD8CF-4627-4BCC-9E29-2EA0407B3395,2,31000.0,0,1,0,1,26,5,28,3,4.0,1,17,1,1,0,1,2,28232.72,12,7,2018
575,37EB6A32-1EE7-4A64-BC59-370A40FC9BBE,1,166034.0,0,1,0,1,43,3,2,4,18.666666,1,25,2,1,1,0,2,34671.44,12,18,2018
576,69EF6784-1CFE-43FB-80BC-5EBCF10A4036,1,231977.66,0,1,0,1,35,5,28,4,2.416666,1,14,1,0,0,0,2,52811.6,12,13,2018
577,9F9AFDC1-DA94-49FB-9C39-4EB50BDC7E28,2,50000.0,0,1,0,1,48,5,18,4,8.0,1,15,2,1,0,1,2,42835.76,12,12,2018
578,9FC5C60B-CD52-4EAF-BC3D-C223C6EA8C5A,1,224991.0,0,1,0,2,22,3,1,3,0.583333,0,13,2,0,0,0,2,17242.4,7,20,2018
579,569785B6-2004-4C21-A440-015AAEFA74A4,1,520000.0,1,3,0,1,41,4,23,1,0.916666,1,26,2,3,0,0,2,43500.0,4,24,2018
580,B4608006-EC45-4AA1-AB8D-94EC735BA7F8,1,154062.0,0,2,0,1,42,6,30,4,18.0,0,15,2,1,1,0,2,130854.0,7,30,2018
581,8BCCFDC4-31C8-4189-9B35-AA2C68443516,1,687400.0,0,1,0,2,31,5,21,4,1.5,0,15,2,0,0,0,2,40126.29,7,31,2018
582,D89F774F-CC63-40D8-BBF1-5E8E93B78183,1,458496.0,1,1,0,1,33,5,24,2,6.0,0,14,1,0,0,0,2,17524.88,6,2,2018
583,9FD8DB2C-32D2-4F23-8167-4DF8B93BD18D,1,250000.0,0,1,0,1,50,5,28,4,11.0,0,15,2,1,0,1,2,21365.02,12,24,2018
584,F8B69772-7349-49B8-8EFE-99E8745ECB05,2,31000.0,0,1,0,1,29,5,28,4,1.333333,0,41,2,1,0,1,2,37978.47,12,11,2018
585,774D8B73-D584-497E-B9DC-5EC07EBF4203,1,562500.0,1,1,0,2,28,3,18,4,0.5,1,15,2,0,0,0,2,51460.5,5,24,2018
586,9C3CC287-61B8-45A7-B1FC-5ECEE6FF6A56,1,450000.0,1,1,0,2,39,3,6,1,2.0,3,13,2,3,0,0,2,39585.0,5,23,2018
587,D5B70F5E-E779-40C7-9793-B7EEBFE26C21,1,102708.0,0,2,0,1,62,5,2,2,15.166666,0,2,1,1,1,0,2,48684.71,12,18,2018
588,8F3A0C70-CACF-4143-9A6C-758DEA7425E5,1,244744.86,0,1,0,1,39,3,2,4,15.0,3,4,1,1,1,0,2,22975.9,12,18,2018
589,54A4A704-4EB2-42C5-B5E3-2FDD22B024A8,1,275388.41,0,1,0,2,54,3,5,3,3.0,0,42,2,0,0,0,2,11286.0,12,20,2018
590,8DE79B5D-78FD-4B3B-8B8D-CE60FE769608,1,954000.0,0,3,0,1,53,5,13,1,5.0,0,23,1,1,1,0,2,29136.49,12,20,2018
591,2CCE9B78-E606-4341-9E8B-35BAD0C34F5D,1,705000.0,0,1,0,2,53,3,12,4,1.0,0,44,1,0,0,0,2,26338.2,12,17,2018
592,B52E3E39-8DA8-4C86-B5DF-9F9555B7928C,1,455700.0,0,1,0,1,56,3,1,2,18.0,0,15,2,0,0,0,2,24799.45,12,25,2018
593,E7011DD5-F592-4F32-BC14-9DC84EC8EE46,1,505000.0,0,1,0,2,51,2,2,3,1.75,0,2,1,0,1,0,2,19166.0,12,11,2018
594,4C090F08-8578-4784-B41C-C49D834653C5,1,250000.0,0,1,0,1,35,5,28,4,6.0,0,41,2,1,0,1,2,40405.42,12,7,2018
595,2D9BD916-1EA8-4085-8F40-CF5BB5E55A3D,1,150000.0,0,1,0,1,38,2,8,4,4.833333,0,25,1,0,1,0,2,40554.67,10,29,2018
597,2EE55BEE-25C9-4F5F-B438-024246B089A7,1,326250.0,0,1,0,1,49,5,13,2,24.0,0,30,2,1,1,0,2,19092.42,12,7,2018
599,718E98E4-5554-48BE-89E7-B6841DA36900,1,157500.0,1,1,0,1,58,5,13,2,1.333333,0,1,2,0,0,0,2,25396.4,6,27,2018
600,F9A97941-EAB9-4086-935B-1B854C1FCA67,1,562500.0,1,1,0,1,45,5,1,4,0.583333,0,15,2,1,1,0,2,33400.0,4,28,2018
601,5C950394-BCEC-4F04-946B-35CC362901BD,2,35000.0,0,1,0,2,54,3,12,4,10.0,0,6,2,0,0,0,2,43089.0,12,10,2018
602,E9CE761E-0F0E-4EC7-8790-ABFDB63372EB,1,310000.0,0,1,0,2,23,5,18,3,0.666666,0,42,1,0,0,0,2,17126.53,12,18,2018
603,3AB7600D-D43A-4E7B-8E06-C696B6D58571,2,31000.0,0,2,0,2,37,5,18,4,14.0,2,3,1,1,0,1,2,29234.25,11,8,2018
604,6585EC30-2A13-4812-996A-0C5AF7F3341E,1,539800.0,0,1,0,2,30,3,24,4,5.0,0,15,2,1,1,0,2,26604.0,12,27,2018
605,DCD2D721-98EE-45E9-B397-7D48481FF9F7,1,1912500.0,0,3,0,1,53,3,24,1,3.666666,0,33,1,3,0,0,2,123409.0,12,11,2018
606,1ABA894E-7333-45B4-BB12-5FC6EDA578D0,1,299695.0,1,1,0,2,35,5,0,4,2.166666,1,25,2,1,1,0,2,29980.43,5,22,2018
607,4146A1FF-56D6-4A32-9AEF-1A977FEFB584,1,562500.0,1,1,0,2,50,5,18,1,5.0,0,15,2,1,1,0,2,38535.11,4,11,2018
608,2757D5EB-BE80-43EA-AEC1-9A85A4F6FF30,1,507882.0,0,1,0,2,58,3,18,3,1.0,0,25,2,1,1,0,2,35841.9,12,13,2018
609,370D95D1-069B-47A2-BE0E-F342C21315B4,1,759875.2,0,1,0,1,33,5,18,1,0.916666,0,13,2,0,0,0,2,22783.68,12,19,2018
610,36B90EB9-8178-4D9E-9E4A-3280E24EFB63,1,460000.0,0,1,0,2,58,3,18,2,9.583333,0,44,1,0,0,0,2,31863.67,12,17,2018
611,FE555E8F-3D1F-4137-9A13-D7D8E2D64720,1,709000.0,0,2,0,2,52,5,8,4,29.0,0,12,2,0,0,0,2,112461.21,12,17,2018
612,EE2B49BE-EABA-45FD-A678-A00D6F024739,1,105276.0,0,1,0,1,33,5,9,4,6.0,0,12,2,0,0,0,2,34064.0,12,20,2018
613,A5F0F296-CF84-4F68-BCC8-5A9566347575,1,223250.0,0,1,0,2,32,5,4,2,1.166666,2,40,2,3,0,0,2,50000.0,12,27,2018
614,80CA1D2D-964B-46C5-9D95-F243C219D4A0,2,50000.0,0,1,0,1,54,5,11,3,7.75,0,15,2,1,1,0,2,57778.3,12,7,2018
615,464F8C11-DB83-46C3-AB42-0E73B6D3B68D,1,136900.0,0,1,0,2,32,5,18,1,7.583333,2,32,2,0,0,0,2,48198.0,12,20,2018
616,0D28D7F3-E268-4105-B1A5-E7858CF94009,2,31000.0,0,1,0,1,39,3,2,3,4.0,1,6,1,1,1,0,2,19261.1,12,6,2018
617,B4944FD1-A54C-4874-8DBE-A0FAECC5A5DB,1,606000.0,0,1,0,1,52,3,13,2,26.0,0,23,1,0,0,0,2,19008.93,12,6,2018
618,4F815F6D-1588-4299-84B6-6672E6F1F630,1,722000.0,0,2,0,1,26,5,28,4,1.75,0,15,2,1,0,1,2,65499.53,12,15,2018
619,53A246B8-ACD1-40E2-8B1C-6B938C61D21E,2,50000.0,0,1,0,2,22,3,24,3,0.666666,0,1,2,1,1,0,2,26337.18,12,5,2018
620,EC580B4A-005E-43F9-809D-C07ABFB4CDEF,1,281250.0,0,1,0,1,31,5,13,3,3.0,1,43,2,0,0,0,2,27175.03,10,16,2018
621,ECE1F862-FBDE-4217-9F2C-6662E2F29739,2,35000.0,0,3,0,1,45,5,18,1,3.833333,0,41,2,0,0,0,2,150510.0,12,12,2018
622,835FE657-3D1B-4459-87DC-4227C5FEDA1F,1,500000.0,0,1,0,2,34,5,24,4,1.5,2,2,1,1,1,0,2,24923.01,8,6,2018
623,62031AAE-4B49-4762-B409-02CB86B4D351,1,712000.0,0,4,0,2,35,3,1,2,14.583333,0,44,1,1,1,0,2,25560.31,11,26,2018
624,538FA984-5ED4-4141-A66D-AE15CF6B5CE2,1,367500.0,0,2,0,2,55,5,18,2,16.0,0,15,2,0,0,0,2,56614.24,12,11,2018
625,EA5F00CC-941B-406F-9996-292A495C70EB,1,117500.0,0,2,0,2,39,5,18,2,5.416666,0,18,2,0,0,0,2,35286.09,12,29,2018
626,6FAF8759-73D8-4F3F-83D4-510CCD0C558E,1,708000.0,0,2,0,2,56,5,18,3,34.333333,0,15,1,1,0,0,2,134342.22,12,10,2018
627,43751225-8AF8-4213-AD48-59A6CD19DAC2,1,373800.0,0,1,0,2,30,2,18,1,6.416666,1,26,2,3,0,0,2,27840.0,7,30,2018
628,1EB7F0C1-9911-44EE-B6F2-55653405FBC7,1,331500.0,0,2,0,1,56,3,2,3,8.333333,0,25,2,0,1,0,2,39148.29,12,24,2018
629,5C3737B5-DE85-45E3-B10C-A5E4F1887959,1,701000.0,0,4,0,2,40,5,1,4,17.916666,1,15,2,0,0,0,2,49172.97,10,23,2018
630,BB5CB38D-026C-406D-8645-43B0FE1304CD,1,797700.0,0,2,0,2,31,5,21,3,6.75,2,23,1,0,0,0,2,39696.17,12,17,2018
631,02BF9B54-E4CE-4601-A7D4-32C134F3E879,1,290250.0,0,1,0,2,22,3,16,4,0.75,0,10,2,1,1,0,2,30747.02,12,20,2018
632,FDBA0499-10CD-45E9-A939-F671B88C7382,1,600000.0,0,1,0,1,52,3,18,4,11.916666,0,41,2,0,0,0,2,27575.99,10,19,2018
633,DA62B186-830A-4E30-87F5-3A29937E4ECC,1,700000.0,1,1,0,2,55,3,12,2,2.416666,0,27,2,0,0,0,2,40804.35,6,28,2018
634,32F06B6E-E803-4788-8AA5-5A26057EB91E,1,104250.0,0,1,0,2,30,3,9,4,0.833333,0,14,2,1,1,0,2,39670.0,12,14,2018
635,EEC6A643-D09E-47E6-8D23-60B016188A85,1,500000.0,0,1,0,1,52,4,1,2,16.0,0,15,2,1,1,0,2,8869.17,7,20,2018
636,9BD2E424-EC8A-43F0-B579-404F3A8C8BD1,1,800000.0,0,3,0,2,49,5,18,1,8.0,1,43,1,3,0,0,2,169832.0,12,11,2018
637,5199DC06-61A6-416B-8114-EBCD1F148CE2,1,537000.0,1,1,0,2,57,2,24,4,0.75,0,14,1,1,1,0,2,18311.22,6,6,2018
638,E2AE3548-6FB6-4694-A69A-0723F3794168,1,247500.0,0,1,0,2,49,3,12,2,4.166666,0,1,1,0,0,0,2,48222.53,12,21,2018
639,81592130-CD52-473D-B44F-0B309A6B561E,1,363000.0,0,1,0,2,53,3,18,4,10.0,0,44,1,0,0,0,2,23384.16,12,25,2018
640,0BA1AE43-98E2-4000-B376-3C9C1C2A0A84,1,339750.0,0,1,0,2,23,3,2,4,0.333333,0,20,2,1,1,0,2,35793.3,12,14,2018
641,7D41C031-004D-41CF-96EB-C295FA908D9E,1,1161599.91,0,1,0,2,48,3,12,4,1.083333,0,41,1,0,0,0,2,37264.5,12,7,2018
642,01CCCE7D-4D8C-4F89-B7FA-6DAC73BF51E3,1,778250.0,0,1,0,2,37,5,12,4,10.0,2,1,1,0,0,0,2,45697.8,11,16,2018
643,6DC30878-625C-42C5-A312-CB7BC17A9808,2,70000.0,0,1,0,1,30,5,17,3,4.083333,0,42,2,0,0,0,2,31402.39,12,24,2018
644,726CE03F-C767-4098-8C82-B6565DF6A433,2,100000.0,0,1,0,1,41,5,1,2,17.0,1,4,2,1,1,0,2,25015.82,12,14,2018
645,5A7E67AB-BE91-4D27-8EEB-7F93E2AA50A9,1,605028.85,0,1,0,2,29,5,18,4,5.5,1,25,1,0,0,0,2,22189.37,12,21,2018
646,A2102068-8C95-451A-8498-1AD2D2C5A3A5,1,442900.0,0,1,0,1,40,5,2,4,2.0,3,25,1,1,1,0,2,29127.06,12,18,2018
647,82F69CAB-B8D2-47C9-9446-19BBDA524AD9,2,100000.0,0,3,0,2,37,5,20,4,14.0,2,15,2,0,0,0,2,236792.07,12,28,2018
648,1E570912-8EE0-48F5-A8F6-DB469864EF92,2,0.0,0,3,0,1,39,6,28,4,6.666666,2,45,2,1,0,1,2,95551.26,11,9,2018
649,E9F1EE73-A0E3-4D1A-8188-47B6A6A31AE5,2,35000.0,0,1,0,2,52,2,18,2,6.0,0,26,2,0,0,0,2,28000.0,12,11,2018
650,0C61FE97-016E-4A75-BA55-65D79F855764,1,1300000.0,0,1,0,2,48,3,18,4,13.0,0,15,2,1,1,0,2,54550.09,12,10,2018
651,B801B247-96C1-47CC-BABD-8228ECF9BFF5,1,565313.0,0,1,0,1,57,5,5,2,21.0,0,27,2,1,1,0,2,19723.91,12,7,2018
652,9E918D02-C7A7-42AB-A4A5-BEEFF1F1ABB5,1,515000.0,0,3,0,1,51,3,18,2,26.0,0,30,1,1,1,0,2,28490.8,12,19,2018
653,33A0E136-1B37-439F-A880-11F4CFD9FE26,2,31000.0,0,2,0,2,32,5,1,2,8.5,2,15,1,1,1,0,2,49658.67,12,20,2018
654,BA59CD26-EAB6-4CA8-A758-479A8FAEAC26,1,800391.09,0,1,0,2,42,2,18,4,2.75,0,24,2,0,0,0,2,86191.05,12,18,2018
656,F02A0639-C08F-4CD8-8396-9A14D993AACC,2,50000.0,0,1,0,1,51,2,2,2,6.0,0,37,1,0,0,0,2,14702.08,11,28,2018
657,ADCE25B9-4071-4067-A50F-88987112C0DC,1,500000.0,0,1,0,1,55,3,13,2,38.0,0,2,1,1,1,0,2,21305.41,12,10,2018
658,BDBAC4B1-AC16-4E6D-8B3F-399B0B927729,1,610000.0,0,1,0,2,31,5,18,3,2.0,2,2,2,0,0,0,2,30145.38,12,12,2018
659,4E203064-0EF0-4CA2-8470-B274D10D08C2,1,1000000.0,0,2,0,2,56,3,18,1,0.833333,0,25,1,0,0,0,2,55752.5,7,26,2018
660,21A0AB25-C671-48CB-9B29-75AF0929EF73,1,660463.9,0,1,0,2,37,3,18,2,3.5,1,13,1,3,0,0,2,39150.0,12,21,2018
661,AEA957ED-4884-4096-9550-6392AD7A6F03,1,983900.0,1,1,0,2,34,5,24,2,3.583333,1,4,1,0,0,0,2,28528.56,6,4,2018
662,FCAE6154-F5B7-4AF5-971A-6C505FBAE334,1,701000.0,0,1,0,2,27,5,30,4,4.0,1,7,2,0,0,0,2,46566.92,12,18,2018
665,0220B27D-421E-4059-A3C0-C32BDDAFA334,1,500000.0,0,1,0,1,56,5,13,2,3.0,0,25,2,1,1,0,2,34181.0,12,17,2018
666,E22786DB-9FA1-4721-B7D2-A1B1EF4790C2,1,137524.16,0,1,0,2,47,2,18,2,12.0,1,13,2,0,0,0,2,30737.59,12,21,2018
667,5B03E577-3E68-4906-926B-384F839CFE88,1,429268.31,0,2,0,1,41,5,18,2,11.25,1,27,2,0,0,0,2,42630.0,12,28,2018
668,9FBE2C5F-6DE1-4971-B8C6-E0C6F48C98EC,1,900000.0,0,1,0,1,43,5,18,4,24.0,1,26,2,0,0,0,2,38628.0,12,11,2018
669,0FB7375B-B152-48C6-9AC5-5A5B7695A69A,1,750600.0,0,1,0,1,35,3,24,4,10.0,2,35,1,0,0,0,2,50841.66,12,7,2018
670,561671B3-C0C8-4D06-9A4B-59FD9F20ECCD,1,300000.0,0,1,0,1,49,3,2,4,30.083333,0,21,2,1,1,0,2,25284.13,12,14,2018
672,22E9253D-530A-4797-8791-790823F17157,1,537500.0,0,1,0,1,48,3,2,4,17.666666,0,15,2,1,1,0,2,22795.27,7,19,2018
673,EA4415C8-037F-4F23-8DFF-08B603B7B97F,1,326900.0,0,1,0,2,36,3,18,4,0.666666,1,37,2,0,0,0,2,26538.9,12,18,2018
674,DF7811FF-E894-4E0E-A642-FE6C1724F0C6,1,497950.0,0,1,0,1,46,3,2,3,26.0,1,29,2,0,0,0,2,32619.42,12,17,2018
